No,Surname,Other Names,County Code,County Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Party Code,Political Party Name,Abbrv,Notes
2561,John Gichovi,John Gichovi,14,Embu,63,Manyatta,313,Nginda,36,Chama Cha Uzalendo,CCU,
2562,John Ephantus Njue,John Ephantus Njue,14,Embu,63,Manyatta,313,Nginda,IND,Independent,IND,
2563,Joseph Mugo,Joseph Mugo,14,Embu,63,Manyatta,313,Nginda,IND,Independent,IND,
2564,K C N,K C N,14,Embu,63,Manyatta,313,Nginda,IND,Independent,IND,
2565,Johnbosco Mwenda,Johnbosco Mwenda,14,Embu,63,Manyatta,313,Nginda,IND,Independent,IND,
2566,Margaret Wanjira,Margaret Wanjira,14,Embu,63,Manyatta,313,Nginda,IND,Independent,IND,
2567,Jeremiah Nyaga,Jeremiah Nyaga,14,Embu,63,Manyatta,313,Nginda,19,Kenya Social Congress,KSC,
2568,Robert,Robert,14,Embu,63,Manyatta,313,Nginda,17,Agano Party,AGANO,
2569,Salesio Njiru,Salesio Njiru,14,Embu,63,Manyatta,313,Nginda,67,Maendeleo Chap Chap Party,MCCP,
2570,Anthony Mugera,Anthony Mugera,14,Embu,63,Manyatta,313,Nginda,IND,Independent,IND,
2571,Joseph Kariuki,Joseph Kariuki,14,Embu,63,Manyatta,314,Mbeti North,67,Maendeleo Chap Chap Party,MCCP,
2572,John Mwaniki,John Mwaniki,14,Embu,63,Manyatta,314,Mbeti North,IND,Independent,IND,
2573,Elias Njeru,Elias Njeru,14,Embu,63,Manyatta,314,Mbeti North,IND,Independent,IND,
2574,Samson Nyagah,Samson Nyagah,14,Embu,63,Manyatta,314,Mbeti North,17,Agano Party,AGANO,
2575,David Murimi,David Murimi,14,Embu,63,Manyatta,314,Mbeti North,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
2576,Bernard Nyaga,Bernard Nyaga,14,Embu,63,Manyatta,314,Mbeti North,IND,Independent,IND,
2577,Linus Kamunyo,Linus Kamunyo,14,Embu,63,Manyatta,314,Mbeti North,IND,Independent,IND,
2578,Alfred James Muriuki,Alfred James Muriuki,14,Embu,63,Manyatta,314,Mbeti North,19,Kenya Social Congress,KSC,
2579,Edwin Muchangi,Edwin Muchangi,14,Embu,63,Manyatta,314,Mbeti North,IND,Independent,IND,
2580,Erastus Macharia,Erastus Macharia,14,Embu,63,Manyatta,314,Mbeti North,IND,Independent,IND,
2581,Geoffrey Mutuku,Geoffrey Mutuku,14,Embu,63,Manyatta,314,Mbeti North,IND,Independent,IND,
2582,Peter Muriithi,Peter Muriithi,14,Embu,63,Manyatta,314,Mbeti North,36,Chama Cha Uzalendo,CCU,
2583,Charles Kioko,Charles Kioko,14,Embu,63,Manyatta,314,Mbeti North,IND,Independent,IND,
2584,Mathew Kibaya,Mathew Kibaya,14,Embu,63,Manyatta,314,Mbeti North,IND,Independent,IND,
2585,Anne Wambui,Anne Wambui,14,Embu,63,Manyatta,315,Kirimari,29,National Rainbow Coalition,NARC,
2586,Hussein Swaleh,Hussein Swaleh,14,Embu,63,Manyatta,315,Kirimari,17,Agano Party,AGANO,
2587,John Mugo,John Mugo,14,Embu,63,Manyatta,315,Kirimari,19,Kenya Social Congress,KSC,
2588,Florence Wanjiku,Florence Wanjiku,14,Embu,63,Manyatta,315,Kirimari,42,Shirikisho Party of Kenya,SPK,
2589,Simon Ndwiga,Simon Ndwiga,14,Embu,63,Manyatta,315,Kirimari,IND,Independent,IND,
2590,Dennis Mbae,Dennis Mbae,14,Embu,63,Manyatta,315,Kirimari,67,Maendeleo Chap Chap Party,MCCP,
2591,Kenneth Muturi,Kenneth Muturi,14,Embu,63,Manyatta,315,Kirimari,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2592,Morris Muchiri,Morris Muchiri,14,Embu,63,Manyatta,315,Kirimari,36,Chama Cha Uzalendo,CCU,
2593,Ibrahim,Ibrahim,14,Embu,63,Manyatta,315,Kirimari,IND,Independent,IND,
2594,Moses Njue,Moses Njue,14,Embu,63,Manyatta,316,Gaturi South,IND,Independent,IND,
2595,Fredrick Mugendi,Fredrick Mugendi,14,Embu,63,Manyatta,316,Gaturi South,67,Maendeleo Chap Chap Party,MCCP,
2596,Gabriel Gitonga,Gabriel Gitonga,14,Embu,63,Manyatta,316,Gaturi South,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2597,Joseph Muthee,Joseph Muthee,14,Embu,63,Manyatta,316,Gaturi South,IND,Independent,IND,
2598,Joel Muchiri,Joel Muchiri,14,Embu,63,Manyatta,316,Gaturi South,IND,Independent,IND,
2599,Muriuki John,Muriuki John,14,Embu,63,Manyatta,316,Gaturi South,36,Chama Cha Uzalendo,CCU,
2600,James Muriithi,James Muriithi,14,Embu,63,Manyatta,316,Gaturi South,19,Kenya Social Congress,KSC,
2601,Emilio Muchangi,Emilio Muchangi,14,Embu,63,Manyatta,316,Gaturi South,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
2602,Paul Njuki,Paul Njuki,14,Embu,63,Manyatta,316,Gaturi South,44,Party of Democratic Unity,PDU,
2603,Alexander Gicovi J,Alexander Gicovi J,14,Embu,63,Manyatta,316,Gaturi South,17,Agano Party,AGANO,
2604,M Junius Njagi D,M Junius Njagi D,14,Embu,64,Runyenjes,317,Gaturi North,IND,Independent,IND,
2605,Stephen M,Stephen M,14,Embu,64,Runyenjes,317,Gaturi North,29,National Rainbow Coalition,NARC,
2606,Martin Mucangi,Martin Mucangi,14,Embu,64,Runyenjes,317,Gaturi North,15,Party for Development and Reform,PDR,
2607,Joshua Justin,Joshua Justin,14,Embu,64,Runyenjes,317,Gaturi North,17,Agano Party,AGANO,
2608,Festus Njiru,Festus Njiru,14,Embu,64,Runyenjes,317,Gaturi North,67,Maendeleo Chap Chap Party,MCCP,
2609,Susan Wangai,Susan Wangai,14,Embu,64,Runyenjes,317,Gaturi North,36,Chama Cha Uzalendo,CCU,
2610,Anselimo Kathuri,Anselimo Kathuri,14,Embu,64,Runyenjes,317,Gaturi North,76,Thirdway Alliance Kenya,TAK,
2611,James Mbogo,James Mbogo,14,Embu,64,Runyenjes,317,Gaturi North,IND,Independent,IND,
2612,Paul Muchangi,Paul Muchangi,14,Embu,64,Runyenjes,317,Gaturi North,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2613,Julius Njeru,Julius Njeru,14,Embu,64,Runyenjes,318,Kagaari South,29,National Rainbow Coalition,NARC,
2614,Robert Njiru,Robert Njiru,14,Embu,64,Runyenjes,318,Kagaari South,36,Chama Cha Uzalendo,CCU,
2615,Sophia Mueni,Sophia Mueni,14,Embu,64,Runyenjes,318,Kagaari South,67,Maendeleo Chap Chap Party,MCCP,
2616,John Tobias,John Tobias,14,Embu,64,Runyenjes,318,Kagaari South,19,Kenya Social Congress,KSC,
2617,Mugo,Mugo,14,Embu,64,Runyenjes,318,Kagaari South,IND,Independent,IND,
2618,Michael Kariuki,Michael Kariuki,14,Embu,64,Runyenjes,318,Kagaari South,68,Democratic Congress,DC,
2619,Christopher Kariuki,Christopher Kariuki,14,Embu,64,Runyenjes,318,Kagaari South,IND,Independent,IND,
2620,Eutycus Kinyua,Eutycus Kinyua,14,Embu,64,Runyenjes,318,Kagaari South,76,Thirdway Alliance Kenya,TAK,
2621,Nathan Fundi,Nathan Fundi,14,Embu,64,Runyenjes,318,Kagaari South,17,Agano Party,AGANO,
2622,Susan Wairimu,Susan Wairimu,14,Embu,64,Runyenjes,318,Kagaari South,IND,Independent,IND,
2623,Abel Nyaga,Abel Nyaga,14,Embu,64,Runyenjes,318,Kagaari South,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2624,Renson Ireri,Renson Ireri,14,Embu,64,Runyenjes,319,Central,17,Agano Party,AGANO,
2625,John Njue,John Njue,14,Embu,64,Runyenjes,319,Central,IND,Independent,IND,
2626,Mercy Karimi,Mercy Karimi,14,Embu,64,Runyenjes,319,Central,67,Maendeleo Chap Chap Party,MCCP,
2627,Veronica Rwamba,Veronica Rwamba,14,Embu,64,Runyenjes,319,Central,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2628,Steve Munene,Steve Munene,14,Embu,64,Runyenjes,319,Central,36,Chama Cha Uzalendo,CCU,
2629,David Kinyua,David Kinyua,14,Embu,64,Runyenjes,319,Central,IND,Independent,IND,
2630,Patrick Rugendo,Patrick Rugendo,14,Embu,64,Runyenjes,320,Kagaari North,36,Chama Cha Uzalendo,CCU,
2631,Harrison,Harrison,14,Embu,64,Runyenjes,320,Kagaari North,IND,Independent,IND,
2632,Amos Kariuki,Amos Kariuki,14,Embu,64,Runyenjes,320,Kagaari North,IND,Independent,IND,
2633,Elias Ireri,Elias Ireri,14,Embu,64,Runyenjes,320,Kagaari North,29,National Rainbow Coalition,NARC,
2634,Alex Muriithi,Alex Muriithi,14,Embu,64,Runyenjes,320,Kagaari North,IND,Independent,IND,
2635,Andrew Mwaniki,Andrew Mwaniki,14,Embu,64,Runyenjes,320,Kagaari North,IND,Independent,IND,
2636,Dennis Murangiri,Dennis Murangiri,14,Embu,64,Runyenjes,320,Kagaari North,67,Maendeleo Chap Chap Party,MCCP,
2637,Patrick Ndwiga,Patrick Ndwiga,14,Embu,64,Runyenjes,320,Kagaari North,19,Kenya Social Congress,KSC,
2638,Alexander Gitonga,Alexander Gitonga,14,Embu,64,Runyenjes,320,Kagaari North,IND,Independent,IND,
2639,Lawrence J Acob,Lawrence J Acob,14,Embu,64,Runyenjes,320,Kagaari North,17,Agano Party,AGANO,
2640,Robinson Chunga,Robinson Chunga,14,Embu,64,Runyenjes,321,Kyeni North,2,The National Vision Party,NVP,
2641,Jason,Jason,14,Embu,64,Runyenjes,321,Kyeni North,67,Maendeleo Chap Chap Party,MCCP,
2642,Kanjogu Njiru,Kanjogu Njiru,14,Embu,64,Runyenjes,321,Kyeni North,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2643,Patrick Njeru,Patrick Njeru,14,Embu,64,Runyenjes,321,Kyeni North,36,Chama Cha Uzalendo,CCU,
2644,Edith Murugi,Edith Murugi,14,Embu,64,Runyenjes,321,Kyeni North,17,Agano Party,AGANO,
2645,Johnfred Kariuki,Johnfred Kariuki,14,Embu,64,Runyenjes,321,Kyeni North,IND,Independent,IND,
2646,Peter Mwiathi,Peter Mwiathi,14,Embu,64,Runyenjes,321,Kyeni North,IND,Independent,IND,
2647,Solomon Mbuo,Solomon Mbuo,14,Embu,64,Runyenjes,321,Kyeni North,19,Kenya Social Congress,KSC,
2648,Barnabas Njama,Barnabas Njama,14,Embu,64,Runyenjes,322,Kyeni South,IND,Independent,IND,
2649,Taratisio I,Taratisio I,14,Embu,64,Runyenjes,322,Kyeni South,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2650,Salesio Njeru,Salesio Njeru,14,Embu,64,Runyenjes,322,Kyeni South,36,Chama Cha Uzalendo,CCU,
2651,Eliud Njiru,Eliud Njiru,14,Embu,64,Runyenjes,322,Kyeni South,IND,Independent,IND,
2652,Mugo Waithuni,Mugo Waithuni,14,Embu,64,Runyenjes,322,Kyeni South,29,National Rainbow Coalition,NARC,
2653,Francis Njiru,Francis Njiru,14,Embu,64,Runyenjes,322,Kyeni South,67,Maendeleo Chap Chap Party,MCCP,
2654,Rose Muthoni,Rose Muthoni,14,Embu,64,Runyenjes,322,Kyeni South,IND,Independent,IND,
2655,Alex David Murithi,Alex David Murithi,14,Embu,64,Runyenjes,322,Kyeni South,31,Kenya Patriots Party,KPP,
2656,Jim Karwengo,Jim Karwengo,14,Embu,64,Runyenjes,322,Kyeni South,19,Kenya Social Congress,KSC,
2657,Anthony Jeremiah,Anthony Jeremiah,14,Embu,64,Runyenjes,322,Kyeni South,IND,Independent,IND,
2658,Junius Njue,Junius Njue,14,Embu,64,Runyenjes,322,Kyeni South,IND,Independent,IND,
2659,Antony Musava,Antony Musava,14,Embu,65,Mbeere South,323,Mwea,29,National Rainbow Coalition,NARC,
2660,Simon Robert Mwaniki,Simon Robert Mwaniki,14,Embu,65,Mbeere South,323,Mwea,60,Vibrant Democratic Party,VDP,
2661,"Andrew Musakwa
Muiya","Andrew Musakwa
Muiya",14,Embu,65,Mbeere South,323,Mwea,67,Maendeleo Chap Chap Party,MCCP,
2662,Job Itumo,Job Itumo,14,Embu,65,Mbeere South,323,Mwea,19,Kenya Social Congress,KSC,
2663,"Kisingu John
Harrison","Kisingu John
Harrison",14,Embu,65,Mbeere South,323,Mwea,36,Chama Cha Uzalendo,CCU,
2664,Teresia Njeri,Teresia Njeri,14,Embu,65,Mbeere South,323,Mwea,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2665,Stephen Kitheka,Stephen Kitheka,14,Embu,65,Mbeere South,324,Makima,36,Chama Cha Uzalendo,CCU,
2666,Joseph Mbatha,Joseph Mbatha,14,Embu,65,Mbeere South,324,Makima,17,Agano Party,AGANO,
2667,Stephen Nzau,Stephen Nzau,14,Embu,65,Mbeere South,324,Makima,29,National Rainbow Coalition,NARC,
2668,Benson Kivuti,Benson Kivuti,14,Embu,65,Mbeere South,324,Makima,67,Maendeleo Chap Chap Party,MCCP,
2669,Benjamin Nzau,Benjamin Nzau,14,Embu,65,Mbeere South,324,Makima,15,Party for Development and Reform,PDR,
2670,Penina Nthamba,Penina Nthamba,14,Embu,65,Mbeere South,324,Makima,IND,Independent,IND,
2671,Philip Kinyutu,Philip Kinyutu,14,Embu,65,Mbeere South,324,Makima,19,Kenya Social Congress,KSC,
2672,Kevin Macharia,Kevin Macharia,14,Embu,65,Mbeere South,325,Mbeti South,IND,Independent,IND,
2673,Murithi Njagi,Murithi Njagi,14,Embu,65,Mbeere South,325,Mbeti South,36,Chama Cha Uzalendo,CCU,
2674,James Njeru,James Njeru,14,Embu,65,Mbeere South,325,Mbeti South,IND,Independent,IND,
2675,Silas Nyaki,Silas Nyaki,14,Embu,65,Mbeere South,325,Mbeti South,67,Maendeleo Chap Chap Party,MCCP,
2676,Joseph Nyaga,Joseph Nyaga,14,Embu,65,Mbeere South,325,Mbeti South,29,National Rainbow Coalition,NARC,
2677,John Ngari,John Ngari,14,Embu,65,Mbeere South,326,Mavuria,IND,Independent,IND,
2678,Benjamin Njeru,Benjamin Njeru,14,Embu,65,Mbeere South,326,Mavuria,IND,Independent,IND,
2679,"Dionisio Gabriel
Nduma","Dionisio Gabriel
Nduma",14,Embu,65,Mbeere South,326,Mavuria,69,Liberal Democratic Party,LDP,
2680,James Mwaniki,James Mwaniki,14,Embu,65,Mbeere South,326,Mavuria,IND,Independent,IND,
2681,Judith Mwendia,Judith Mwendia,14,Embu,65,Mbeere South,326,Mavuria,36,Chama Cha Uzalendo,CCU,
2682,Godfrey Mwangangi,Godfrey Mwangangi,14,Embu,65,Mbeere South,326,Mavuria,67,Maendeleo Chap Chap Party,MCCP,
2683,Crispin,Crispin,14,Embu,65,Mbeere South,326,Mavuria,44,Party of Democratic Unity,PDU,
2684,Patrick Ngari,Patrick Ngari,14,Embu,65,Mbeere South,326,Mavuria,IND,Independent,IND,
2685,Eston Njagi,Eston Njagi,14,Embu,65,Mbeere South,326,Mavuria,IND,Independent,IND,
2686,James Ndwiga,James Ndwiga,14,Embu,65,Mbeere South,326,Mavuria,29,National Rainbow Coalition,NARC,
2687,John Muchiri,John Muchiri,14,Embu,65,Mbeere South,326,Mavuria,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2688,Joseph Mwaniki,Joseph Mwaniki,14,Embu,65,Mbeere South,326,Mavuria,IND,Independent,IND,
2689,Stephen Njeru,Stephen Njeru,14,Embu,65,Mbeere South,326,Mavuria,68,Democratic Congress,DC,
2690,John Njoka,John Njoka,14,Embu,65,Mbeere South,326,Mavuria,17,Agano Party,AGANO,
2691,Nicholas Mbogo,Nicholas Mbogo,14,Embu,65,Mbeere South,326,Mavuria,42,Shirikisho Party of Kenya,SPK,
2692,Shunem Ngira,Shunem Ngira,14,Embu,65,Mbeere South,327,Kiambere,IND,Independent,IND,
2693,Joseph Kinyua,Joseph Kinyua,14,Embu,65,Mbeere South,327,Kiambere,44,Party of Democratic Unity,PDU,
2694,Martin Muriithi,Martin Muriithi,14,Embu,65,Mbeere South,327,Kiambere,17,Agano Party,AGANO,
2695,"Masters Leonard
Mwaniki","Masters Leonard
Mwaniki",14,Embu,65,Mbeere South,327,Kiambere,67,Maendeleo Chap Chap Party,MCCP,
2696,Robert Mugo,Robert Mugo,14,Embu,65,Mbeere South,327,Kiambere,IND,Independent,IND,
2697,Gladwin Mbaka,Gladwin Mbaka,14,Embu,65,Mbeere South,327,Kiambere,69,Liberal Democratic Party,LDP,
2698,Flidah Mbandi,Flidah Mbandi,14,Embu,65,Mbeere South,327,Kiambere,IND,Independent,IND,
2699,Patrick Nthiga,Patrick Nthiga,14,Embu,65,Mbeere South,327,Kiambere,19,Kenya Social Congress,KSC,
2700,Joseph Kariuki,Joseph Kariuki,14,Embu,65,Mbeere South,327,Kiambere,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2701,Martin Mwangi,Martin Mwangi,14,Embu,65,Mbeere South,327,Kiambere,36,Chama Cha Uzalendo,CCU,
2702,Edward Njagi,Edward Njagi,14,Embu,66,Mbeere North,328,Nthawa,17,Agano Party,AGANO,
2703,Peter Ngari,Peter Ngari,14,Embu,66,Mbeere North,328,Nthawa,67,Maendeleo Chap Chap Party,MCCP,
2704,Jervasio Mbogo,Jervasio Mbogo,14,Embu,66,Mbeere North,328,Nthawa,36,Chama Cha Uzalendo,CCU,
2705,Nathan Kariuki,Nathan Kariuki,14,Embu,66,Mbeere North,328,Nthawa,IND,Independent,IND,
2706,Charles Mwangi,Charles Mwangi,14,Embu,66,Mbeere North,328,Nthawa,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2707,James Kariuki,James Kariuki,14,Embu,66,Mbeere North,328,Nthawa,IND,Independent,IND,
2708,Emmanuel Njeru,Emmanuel Njeru,14,Embu,66,Mbeere North,328,Nthawa,IND,Independent,IND,
2709,Mwathi,Mwathi,14,Embu,66,Mbeere North,329,Muminji,19,Kenya Social Congress,KSC,
2710,Newton Kariuki,Newton Kariuki,14,Embu,66,Mbeere North,329,Muminji,67,Maendeleo Chap Chap Party,MCCP,
2711,Joab Njeru,Joab Njeru,14,Embu,66,Mbeere North,329,Muminji,IND,Independent,IND,
2712,Loise Mbuya,Loise Mbuya,14,Embu,66,Mbeere North,329,Muminji,36,Chama Cha Uzalendo,CCU,
2713,Cosmas,Cosmas,14,Embu,66,Mbeere North,329,Muminji,29,National Rainbow Coalition,NARC,
2714,Purity Wangari,Purity Wangari,14,Embu,66,Mbeere North,329,Muminji,IND,Independent,IND,
2715,Ireri Nyaga Mwathi,Ireri Nyaga Mwathi,14,Embu,66,Mbeere North,329,Muminji,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
2716,Albert Muchira,Albert Muchira,14,Embu,66,Mbeere North,330,Evurore,IND,Independent,IND,
2717,Duncan Ireri,Duncan Ireri,14,Embu,66,Mbeere North,330,Evurore,36,Chama Cha Uzalendo,CCU,
2718,Anncet Wawira,Anncet Wawira,14,Embu,66,Mbeere North,330,Evurore,IND,Independent,IND,
2719,Hampton Ireri,Hampton Ireri,14,Embu,66,Mbeere North,330,Evurore,19,Kenya Social Congress,KSC,
2720,"Mwene Alex Lincoln
Njeru","Mwene Alex Lincoln
Njeru",14,Embu,66,Mbeere North,330,Evurore,IND,Independent,IND,
2721,Jamlick Njeru,Jamlick Njeru,14,Embu,66,Mbeere North,330,Evurore,17,Agano Party,AGANO,
2722,Hadson Njiru,Hadson Njiru,14,Embu,66,Mbeere North,330,Evurore,40,New Democrats,ND,
2723,Mbura Catherine,Mbura Catherine,14,Embu,66,Mbeere North,330,Evurore,IND,Independent,IND,
2724,Duncan Muratia,Duncan Muratia,14,Embu,66,Mbeere North,330,Evurore,67,Maendeleo Chap Chap Party,MCCP,
2725,Bonface Mona,Bonface Mona,15,Kitui,67,Mwingi North,331,Ngomeni,36,Chama Cha Uzalendo,CCU,
2726,Dennis Mbuvi,Dennis Mbuvi,15,Kitui,67,Mwingi North,331,Ngomeni,IND,Independent,IND,
2727,Eliud Muteti,Eliud Muteti,15,Kitui,67,Mwingi North,331,Ngomeni,15,Party for Development and Reform,PDR,
2728,Peter Musyoki,Peter Musyoki,15,Kitui,67,Mwingi North,332,Kyuso,38,Peoples Empowerment Party,PEP,
2729,Stephen Makau,Stephen Makau,15,Kitui,67,Mwingi North,332,Kyuso,15,Party for Development and Reform,PDR,
2730,Peter Kimanzi,Peter Kimanzi,15,Kitui,67,Mwingi North,332,Kyuso,51,National Party of Kenya,NPK,
2731,Barnabas Musyoka,Barnabas Musyoka,15,Kitui,67,Mwingi North,332,Kyuso,IND,Independent,IND,
2732,Muema Job,Muema Job,15,Kitui,67,Mwingi North,332,Kyuso,IND,Independent,IND,
2733,David Muema,David Muema,15,Kitui,67,Mwingi North,332,Kyuso,47,Farmers Party,FP,
2734,Johnson Mutua,Johnson Mutua,15,Kitui,67,Mwingi North,333,Mumoni,15,Party for Development and Reform,PDR,
2735,Titus Munyoki,Titus Munyoki,15,Kitui,67,Mwingi North,333,Mumoni,63,Devolution Party of Kenya,DPK,
2736,Joseph Kimanzi,Joseph Kimanzi,15,Kitui,67,Mwingi North,333,Mumoni,38,Peoples Empowerment Party,PEP,
2737,Eric Muthui,Eric Muthui,15,Kitui,67,Mwingi North,333,Mumoni,36,Chama Cha Uzalendo,CCU,
2738,John Mutia,John Mutia,15,Kitui,67,Mwingi North,333,Mumoni,75,Empowerment and Liberation Party,ELP,
2739,Boniface Kilaa,Boniface Kilaa,15,Kitui,67,Mwingi North,334,Tseikuru,15,Party for Development and Reform,PDR,
2740,Dominic Kilonzo,Dominic Kilonzo,15,Kitui,67,Mwingi North,334,Tseikuru,IND,Independent,IND,
2741,Stephen Munyoki,Stephen Munyoki,15,Kitui,67,Mwingi North,334,Tseikuru,IND,Independent,IND,
2742,Musyoka,Musyoka,15,Kitui,67,Mwingi North,334,Tseikuru,36,Chama Cha Uzalendo,CCU,
2743,Alex Kamami,Alex Kamami,15,Kitui,67,Mwingi North,334,Tseikuru,38,Peoples Empowerment Party,PEP,
2744,Samson Kimanzi,Samson Kimanzi,15,Kitui,67,Mwingi North,334,Tseikuru,IND,Independent,IND,
2745,Samuel Muriungi,Samuel Muriungi,15,Kitui,67,Mwingi North,335,Tharaka,63,Devolution Party of Kenya,DPK,
2746,Joel Kinyua,Joel Kinyua,15,Kitui,67,Mwingi North,335,Tharaka,36,Chama Cha Uzalendo,CCU,
2747,Godfrey Muthengi,Godfrey Muthengi,15,Kitui,67,Mwingi North,335,Tharaka,38,Peoples Empowerment Party,PEP,
2748,Frederick Kithome,Frederick Kithome,15,Kitui,67,Mwingi North,335,Tharaka,15,Party for Development and Reform,PDR,
2749,Joyce Mwende,Joyce Mwende,15,Kitui,68,Mwingi West,336,Kyome/Thaana,IND,Independent,IND,
2750,Philip Willy,Philip Willy,15,Kitui,68,Mwingi West,336,Kyome/Thaana,63,Devolution Party of Kenya,DPK,
2751,Chrispus Makenda,Chrispus Makenda,15,Kitui,68,Mwingi West,336,Kyome/Thaana,38,Peoples Empowerment Party,PEP,
2752,Alphonce Mukwayu,Alphonce Mukwayu,15,Kitui,68,Mwingi West,336,Kyome/Thaana,IND,Independent,IND,
2753,Peter,Peter,15,Kitui,68,Mwingi West,336,Kyome/Thaana,IND,Independent,IND,
2754,Fernandes Nguu,Fernandes Nguu,15,Kitui,68,Mwingi West,336,Kyome/Thaana,36,Chama Cha Uzalendo,CCU,
2755,Alex Wambua,Alex Wambua,15,Kitui,68,Mwingi West,336,Kyome/Thaana,15,Party for Development and Reform,PDR,
2756,David,David,15,Kitui,68,Mwingi West,337,Nguutani,IND,Independent,IND,
2757,Aldrin Vundi,Aldrin Vundi,15,Kitui,68,Mwingi West,337,Nguutani,IND,Independent,IND,
2758,Stephen Ileve,Stephen Ileve,15,Kitui,68,Mwingi West,337,Nguutani,15,Party for Development and Reform,PDR,
2759,Nicholas Musyoko,Nicholas Musyoko,15,Kitui,68,Mwingi West,337,Nguutani,IND,Independent,IND,
2760,Dixon Muthami,Dixon Muthami,15,Kitui,68,Mwingi West,337,Nguutani,IND,Independent,IND,
2761,Mutinda,Mutinda,15,Kitui,68,Mwingi West,337,Nguutani,67,Maendeleo Chap Chap Party,MCCP,
2762,Joseph Kioko,Joseph Kioko,15,Kitui,68,Mwingi West,337,Nguutani,IND,Independent,IND,
2763,Justus Musyimi,Justus Musyimi,15,Kitui,68,Mwingi West,337,Nguutani,IND,Independent,IND,
2764,Agneta Kasyoka,Agneta Kasyoka,15,Kitui,68,Mwingi West,337,Nguutani,75,Empowerment and Liberation Party,ELP,
2765,Titus Novi,Titus Novi,15,Kitui,68,Mwingi West,337,Nguutani,38,Peoples Empowerment Party,PEP,
2766,Josephat Ngeta,Josephat Ngeta,15,Kitui,68,Mwingi West,337,Nguutani,IND,Independent,IND,
2767,Phoebe Bernard,Phoebe Bernard,15,Kitui,68,Mwingi West,338,Migwani,IND,Independent,IND,
2768,Leonard Mutia,Leonard Mutia,15,Kitui,68,Mwingi West,338,Migwani,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
2769,Patrick Munyithya,Patrick Munyithya,15,Kitui,68,Mwingi West,338,Migwani,IND,Independent,IND,
2770,Steve Mwinzi,Steve Mwinzi,15,Kitui,68,Mwingi West,338,Migwani,38,Peoples Empowerment Party,PEP,
2771,Philip,Philip,15,Kitui,68,Mwingi West,338,Migwani,15,Party for Development and Reform,PDR,
2772,George Kangulyu,George Kangulyu,15,Kitui,68,Mwingi West,338,Migwani,IND,Independent,IND,
2773,Francis Muihengi,Francis Muihengi,15,Kitui,68,Mwingi West,338,Migwani,IND,Independent,IND,
2774,Mark Nzuka,Mark Nzuka,15,Kitui,68,Mwingi West,338,Migwani,51,National Party of Kenya,NPK,
2775,Charles Mulwa,Charles Mulwa,15,Kitui,68,Mwingi West,339,Kiomo/Kyethani,47,Farmers Party,FP,
2776,James,James,15,Kitui,68,Mwingi West,339,Kiomo/Kyethani,15,Party for Development and Reform,PDR,
2777,Nicodemus Musyoka,Nicodemus Musyoka,15,Kitui,68,Mwingi West,339,Kiomo/Kyethani,51,National Party of Kenya,NPK,
2778,Peter Maithya,Peter Maithya,15,Kitui,68,Mwingi West,339,Kiomo/Kyethani,38,Peoples Empowerment Party,PEP,
2779,Monicah Mueni,Monicah Mueni,15,Kitui,68,Mwingi West,339,Kiomo/Kyethani,IND,Independent,IND,
2780,Sammy Mwikya,Sammy Mwikya,15,Kitui,69,Mwingi Central,340,Central,IND,Independent,IND,
2781,Stephen Kyalo,Stephen Kyalo,15,Kitui,69,Mwingi Central,340,Central,38,Peoples Empowerment Party,PEP,
2782,James Musyoka,James Musyoka,15,Kitui,69,Mwingi Central,340,Central,36,Chama Cha Uzalendo,CCU,
2783,Benard Mwangangi,Benard Mwangangi,15,Kitui,69,Mwingi Central,340,Central,15,Party for Development and Reform,PDR,
2784,"Julius Mwanzia
Musyoki","Julius Mwanzia
Musyoki",15,Kitui,69,Mwingi Central,340,Central,47,Farmers Party,FP,
2785,Mary Kanini,Mary Kanini,15,Kitui,69,Mwingi Central,340,Central,IND,Independent,IND,
2786,Francis Nzuki,Francis Nzuki,15,Kitui,69,Mwingi Central,341,Kivou,31,Kenya Patriots Party,KPP,
2787,John,John,15,Kitui,69,Mwingi Central,341,Kivou,29,National Rainbow Coalition,NARC,
2788,"Charles Muthui
Kilonzi","Charles Muthui
Kilonzi",15,Kitui,69,Mwingi Central,341,Kivou,15,Party for Development and Reform,PDR,
2789,Sammy Musili,Sammy Musili,15,Kitui,69,Mwingi Central,341,Kivou,IND,Independent,IND,
